Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
175,88.4347,88.184,0.018769,0.0218234
176,88.3315,87.5243,0.019075,0.0385149
177,88.2891,88.8736,0.0190095,0.0277096
178,88.4039,87.6451,0.0188454,0.0316321
179,88.3576,86.9361,0.0186197,0.0437208
180,88.5306,88.3479,0.0188276,0.0262042
181,88.5595,87.8868,0.0188936,0.0373265
182,88.5236,86.9597,0.0189781,0.0328535
183,88.6245,88.0035,0.0188972,0.0342202
184,88.541,88.0187,0.0189999,0.0249993
185,88.6324,88.3347,0.018772,0.0291539
186,88.6481,88.2826,0.0187952,0.0211464
187,88.5525,87.5965,0.0187328,0.03551
188,88.8225,88.1028,0.0185488,0.0317068
189,88.6817,87.866,0.0187819,0.0317233
190,88.8338,88.7361,0.0185028,0.0291889
191,88.8477,88.7257,0.0187019,0.0232166
192,88.9361,87.8535,0.0185872,0.0372139
193,88.8731,89.2896,0.0185619,0.0189038
194,88.9262,87.3403,0.018577,0.0454809
195,88.969,88.8222,0.0185315,0.0253418
196,88.9979,88.0076,0.0182211,0.0370271
197,89.0292,88.0819,0.0183653,0.0386553
198,89.0252,88.2694,0.0185362,0.0255693
199,88.9491,88.0424,0.018522,0.0396835
200,89.1088,88.9625,0.0181994,0.0244041
201,88.9525,87.3771,0.0183318,0.0410321
202,89.0866,88.3667,0.0181483,0.0305771
203,88.9407,88.4215,0.0181851,0.0247904
204,88.9729,87.9535,0.0181612,0.0388835
205,89.0519,88.7667,0.0179251,0.031725
206,89.0421,87.8361,0.0180618,0.0401917
207,89.0016,88.7931,0.0180929,0.0248061
208,89.0155,89.3236,0.0181135,0.0123682
209,89.0005,87.4326,0.0181211,0.0396918
210,89.044,87.9931,0.0178673,0.0344281
211,89.0285,88.2243,0.0178178,0.033757
212,88.9958,88.3951,0.017903,0.0326406
213,88.8826,89.6125,0.0183198,0.0139526
214,89.1308,87.6139,0.017806,0.0302133
215,88.9322,88.6451,0.018049,0.0300303
216,89.0574,88.9083,0.0178952,0.0228814
217,88.9546,88.4694,0.0180128,0.0278535
218,89.0345,88.4882,0.0178577,0.0313113
219,88.9993,88.8486,0.017806,0.0234901
220,88.9345,88.2924,0.0179654,0.0234433
221,89.0521,88.7868,0.0177148,0.0217143
222,89.0394,89.3875,0.0178025,0.0265408
223,88.9831,88.2826,0.01795,0.0353572
224,89.0016,87.9729,0.0176903,0.0365929
225,88.9984,89.0514,0.0176219,0.0149164
226,88.9926,88.9174,0.0179252,0.0242689
227,89.1067,87.5361,0.0176957,0.0440586
228,88.9257,88.8479,0.0177011,0.0295032
229,89.0039,88.5396,0.0177061,0.027108
230,89.0829,88.6965,0.0175921,0.0269383
231,88.9646,89.1549,0.0180975,0.0237161
232,89.163,88.241,0.017676,0.0252201
233,88.9222,88.7583,0.017909,0.0283342
234,88.9528,88.8701,0.0180054,0.0243465
235,89.153,88.6042,0.0176324,0.0249512
236,88.9722,88.9868,0.0180147,0.0299781
237,89.112,88.575,0.0174891,0.0278099
238,88.938,88.6111,0.0176673,0.0226196
