Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
277,57.3464,57.625,0.00465926,0.00583675
278,57.4048,57.65,0.00465294,0.00583437
279,57.4631,57.625,0.00464663,0.00583199
280,57.5048,57.625,0.00464033,0.00582961
281,57.5048,57.675,0.00463404,0.00582723
282,57.5298,57.7,0.00462775,0.00582485
283,57.5465,57.75,0.00462147,0.00582247
284,57.6048,57.75,0.0046152,0.00582008
285,57.6381,57.775,0.00460892,0.00581768
286,57.6465,57.775,0.00460265,0.00581527
287,57.7131,57.825,0.00459636,0.00581284
288,57.7381,57.875,0.00459008,0.00581041
289,57.8048,57.925,0.00458378,0.00580795
290,57.8465,58.05,0.00457749,0.00580547
291,57.8715,58.1,0.00457118,0.00580298
292,57.8798,58.2,0.00456488,0.00580046
293,57.9048,58.225,0.00455858,0.00579792
294,57.9798,58.25,0.00455229,0.00579537
295,58.0465,58.325,0.004546,0.0057928
296,58.0798,58.3,0.00453974,0.00579021
297,58.0882,58.35,0.00453349,0.00578762
298,58.1215,58.35,0.00452727,0.00578502
299,58.1882,58.275,0.00452107,0.00578242
300,58.2715,58.325,0.00451491,0.00577981
301,58.3549,58.325,0.00450877,0.00577721
302,58.3965,58.325,0.00450266,0.00577461
303,58.4715,58.35,0.0044966,0.00577201
304,58.4882,58.375,0.00449056,0.00576942
305,58.4965,58.45,0.00448456,0.00576683
306,58.4882,58.45,0.0044786,0.00576425
307,58.5465,58.5,0.00447267,0.00576167
308,58.6049,58.55,0.00446679,0.0057591
309,58.6382,58.6,0.00446094,0.00575653
310,58.7132,58.725,0.00445513,0.00575397
311,58.7216,58.75,0.00444935,0.00575142
312,58.7799,58.8,0.00444362,0.00574887
313,58.8466,58.875,0.00443792,0.00574632
314,58.9049,58.9,0.00443226,0.00574378
315,58.9716,58.9,0.00442664,0.00574124
316,59.0383,58.875,0.00442105,0.00573871
317,59.0716,58.975,0.0044155,0.00573618
318,59.1466,58.975,0.00440999,0.00573365
319,59.2049,59.05,0.00440451,0.00573114
320,59.2716,59.1,0.00439907,0.00572862
321,59.3133,59.075,0.00439366,0.00572611
322,59.3299,59.075,0.00438829,0.0057236
323,59.3383,59.225,0.00438295,0.0057211
324,59.3383,59.325,0.00437764,0.00571861
325,59.4466,59.425,0.00437237,0.00571612
326,59.5133,59.45,0.00436713,0.00571364
327,59.53,59.45,0.00436192,0.00571116
328,59.5716,59.525,0.00435675,0.00570869
329,59.5966,59.6,0.0043516,0.00570623
330,59.6133,59.6,0.00434649,0.00570378
331,59.6633,59.725,0.0043414,0.00570134
332,59.7216,59.775,0.00433635,0.0056989
333,59.7383,59.75,0.00433133,0.00569648
334,59.73,59.75,0.00432633,0.00569407
335,59.7383,59.775,0.00432137,0.00569166
336,59.7883,59.775,0.00431643,0.00568927
337,59.8633,59.775,0.00431153,0.0056869
338,59.88,59.775,0.00430665,0.00568453
339,59.9133,59.875,0.0043018,0.00568218
340,59.955,59.9,0.00429698,0.00567985
341,59.9383,59.925,0.00429218,0.00567753
342,59.9467,59.9,0.00428741,0.00567523
343,59.9717,59.9,0.00428267,0.00567294
344,59.9883,59.95,0.00427796,0.00567067
345,60.0383,59.925,0.00427327,0.00566842
346,60.0633,59.925,0.00426861,0.00566619
347,60.1383,59.925,0.00426397,0.00566398
348,60.1633,59.925,0.00425936,0.00566179
349,60.2134,60.025,0.00425478,0.00565962
350,60.2384,60.025,0.00425022,0.00565747
351,60.2634,60.025,0.00424568,0.00565534
352,60.2717,60.075,0.00424117,0.00565323
353,60.2717,60.075,0.00423668,0.00565115
354,60.305,60.075,0.00423222,0.00564909
355,60.355,60.025,0.00422778,0.00564705
356,60.3717,60,0.00422336,0.00564503
357,60.4217,60,0.00421896,0.00564304
358,60.4717,60,0.00421459,0.00564106
359,60.5217,60.1,0.00421024,0.00563911
360,60.505,60.125,0.00420591,0.00563719
361,60.5134,60.15,0.0042016,0.00563528
362,60.5217,60.225,0.00419731,0.0056334
363,60.5467,60.225,0.00419304,0.00563153
364,60.6051,60.225,0.00418879,0.00562969
365,60.6551,60.3,0.00418457,0.00562788
366,60.6884,60.3,0.00418036,0.00562608
367,60.7384,60.25,0.00417617,0.0056243
368,60.7551,60.275,0.00417199,0.00562255
369,60.7801,60.275,0.00416784,0.00562081
370,60.8051,60.325,0.00416371,0.00561909
371,60.7717,60.3,0.00415959,0.0056174
372,60.8384,60.35,0.00415549,0.00561572
